score_diff,time_remaining_s,minute_of_game,wp,leverage
1,3300,5.0,0.7030698432782325,0.14348797348245124
1,3360,4.0,0.7032469126463159,0.1434637293776415
1,3420,3.0,0.7035130774527412,0.14350432534904356
1,3480,2.0,0.7038658643660469,0.14360781546863643
1,3540,1.0,0.7043028613897203,0.14377223145709628
1,3600,0.0,0.7048217151466812,0.14399558662923417
2,0,60.0,0.9989719931838715,0.005400518346786787
2,60,59.0,0.9960606118599655,0.014134245434558435
2,120,58.0,0.9935195492620039,0.019973087711585902
2,180,57.0,0.9907270090368779,0.025475304507278418
2,240,56.0,0.9876570642540319,0.030801855882006124
2,300,55.0,0.9843145758496789,0.03598241859892681
2,360,54.0,0.9807136273205372,0.04101295510077507
2,420,53.0,0.97687247995683,0.045879018661677096
2,480,52.0,0.9728117262643989,0.0505636893606658
2,540,51.0,0.9685533707285261,0.055050793531864595
2,600,50.0,0.9641202546958169,0.05932631234396191
2,660,49.0,0.9595356376762897,0.06337898124994823
2,720,48.0,0.9548228651517698,0.06720048592367833
2,780,47.0,0.9500050938903984,0.07078544055014846
2,840,46.0,0.9451050614955231,0.07413124289086936
2,900,45.0,0.940144893344283,0.07723785859696608
2,960,44.0,0.9351459427596295,0.08010756629704019
2,1020,43.0,0.9301286613628995,0.08274468366532273
2,1080,42.0,0.9251124969733958,0.08515528806253114
2,1140,41.0,0.9201158165558095,0.08734694117506892
2,1200,40.0,0.9151558517486543,0.08932842426168308
2,1260,39.0,0.9102486645212644,0.09110948859572643
2,1320,38.0,0.9054091305400449,0.09270062417389402
2,1380,37.0,0.9006509378897776,0.0941128485888939
2,1440,36.0,0.8959865988944888,0.0953575170423464
2,1500,35.0,0.8914274729105998,0.09644615374937371
2,1560,34.0,0.8869837981163293,0.0973903044210912
2,1620,33.0,0.882664730488508,0.09820140907902986
2,1680,32.0,0.8784783883341994,0.09889069413562224
2,1740,31.0,0.8744319009237961,0.09946908244989194
2,1800,30.0,0.8705314599494237,0.09994711992204919
2,1860,29.0,0.866782372703565,0.10033491711123477
2,1920,28.0,0.8631891160347016,0.10064210433483667
2,1980,27.0,0.8597553902874018,0.10087779872464853
2,2040,26.0,0.856484172572227,0.10105058176494608
2,2100,25.0,0.8533777688354661,0.10116848591177408
2,2160,24.0,0.8504378643098206,0.10123898898416328
2,2220,23.0,0.8476655720250127,0.10126901512040454
2,2280,22.0,0.8450614791424311,0.10126494120094409
2,2340,21.0,0.8426256909511163,0.10123260774975085
2,2400,20.0,0.8403578724245292,0.10117733343503299
2,2460,19.0,0.838257287289626,0.10110393239546667
2,2520,18.0,0.8363228346027974,0.10101673371792019
2,2580,17.0,0.8345530828622115,0.10091960248577991
2,2640,16.0,0.8329463017140133,0.1008159619026705
2,2700,15.0,0.8315004913315994,0.1007088160742674
2,2760,14.0,0.8302134095636426,0.10060077310088578
2,2820,13.0,0.8290825969584782,0.10049406819579365
2,2880,12.0,0.828105399780589,0.10039058659898559
2,2940,11.0,0.8272789911398613,0.10029188610394835
2,3000,10.0,0.8266003903565828,0.10019921905617946
2,3060,9.0,0.8260664806853146,0.100113553717456
2,3120,8.0,0.8256740255191913,0.10003559491967662
2,3180,7.0,0.8254196831932805,0.09996580395697097
2,3240,6.0,0.8253000205016326,0.09990441768535363
2,3300,5.0,0.8253115250378896,0.0998514668158973
2,3360,4.0,0.8254506164639394,0.09980679340075871
2,3420,3.0,0.8257136568053794,0.0997700675218407
2,3480,2.0,0.8260969598665453,0.09974080319977774
2,3540,1.0,0.8265967998517509,0.0997183735467786
2,3600,0.0,0.8272094192732563,0.09970202519079452
3,0,60.0,0.999965502151402,0.0001820669230766514
3,60,59.0,0.999738646262294,0.0009485770038273333
3,120,58.0,0.9994453050540091,0.0017371833400552372
3,180,57.0,0.9990451836839164,0.0026766632351170605
3,240,56.0,0.9985254038472272,0.003770219257536511
3,300,55.0,0.9978753106512177,0.005013501614039129
3,360,54.0,0.997085967467517,0.006398727455359188
3,420,53.0,0.9961501684478908,0.007915768103901377
3,480,52.0,0.9950625043461546,0.009552703303049803
3,540,51.0,0.9938194133382855,0.01129623683064207
3,600,50.0,0.992419202281967,0.013132063617297574
3,660,49.0,0.9908620356377676,0.015045211040079165
3,720,48.0,0.9891498929000624,0.017020358378026734
3,780,47.0,0.9872864969055013,0.019042132772699283
3,840,46.0,0.9852772162021017,0.021095378569469303
3,900,45.0,0.9831289451566223,0.02316539697584563
3,960,44.0,0.9808499657707317,0.02523815364011195
3,1020,43.0,0.978449795310637,0.027300452656001117
3,1080,42.0,0.9759390238517651,0.029340076463244213
3,1140,41.0,0.9733291457164478,0.031345892046058754
3,1200,40.0,0.9706323885554449,0.03330792467618826
3,1260,39.0,0.9678615435122263,0.035217401169935214
3,1320,38.0,0.965029799532111,0.03706676521040897
3,1380,37.0,0.9621505844568794,0.03884966771896703
3,1440,36.0,0.9592374150990796,0.040560935544615706
3,1500,35.0,0.9563037580371269,0.042196521885215166
3,1560,34.0,0.9533629024285811,0.0437534418733565
3,1620,33.0,0.9504278457181415,0.045229696670156194
3,1680,32.0,0.9475111927295158,0.04662418923153466
3,1740,31.0,0.944625068284079,0.04793663466411624
3,1800,30.0,0.9417810431890075,0.049167467791670694
3,1860,29.0,0.9389900731856549,0.05031775022657525
3,1920,28.0,0.9362624502454583,0.0513890789006729
3,1980,27.0,0.9336077654439144,0.052383497670274726
3,2040,26.0,0.9310348825300435,0.05330341328236865
3,2100,25.0,0.9285519212351536,0.054151516682173884
3,2160,24.0,0.9261662493259318,0.0549307103623049
3,2220,23.0,0.9238844823978094,0.05564404220498964
3,2280,22.0,0.9217124904201517,0.05629464605299339
3,2340,21.0,0.9196554100801287,0.056885689062532885
3,2400,20.0,0.917717662022562,0.057420325741524225
3,2460,19.0,0.9159029721444146,0.05790165845708495
3,2520,18.0,0.9142143961712296,0.05833270410468039
3,2580,17.0,0.9126543468155535,0.05871636656463486
3,2640,16.0,0.9112246228915752,0.05905541452669805
3,2700,15.0,0.9099264398337084,0.05935246423667273
3,2760,14.0,0.9087604611379876,0.059609966707676154
3,2820,13.0,0.9077268303126347,0.059830198939416546
3,2880,12.0,0.9068252029871324,0.06001525869929636
3,2940,11.0,0.9060547788869632,0.060167062436766394
3,3000,10.0,0.9054143334335572,0.06028734592516305
3,3060,9.0,0.9049022487757992,0.060377667251446
3,3120,8.0,0.9045165441007204,0.0604394118024425
3,3180,7.0,0.904254905106938,0.060473798925184896
3,3240,6.0,0.9041147125552738,0.060481889967822666
3,3300,5.0,0.9040930698370979,0.060464597435693546
3,3360,4.0,0.9041868295227562,0.0604226950239688
3,3420,3.0,0.9043926188702534,0.060356828313470556
3,3480,2.0,0.904706864288704,0.06026752593967699
3,3540,1.0,0.9051258147622452,0.060155211066370895
3,3600,0.0,0.9056455642486086,0.060020213014940094
