game_id,total_elapsed_s,score_diff,wp_caller
2024021126,3538,0,0.5249262817313874
2024020009,3452,-1,0.09389029304589422
2024020035,2046,1,0.7690919880627932
2024020087,1913,-1,0.33920607107672796
2024020102,3531,-1,0.0743440078878326
2024020190,3552,-1,0.06384968813111473
2024020314,2197,1,0.761994464270225
2024020451,3573,-1,0.058174043428007645
2024020627,3444,-2,0.010532159798824702
2024020784,3573,-1,0.058174043428007645
2024020834,3523,-1,0.07701363818478732
2024020843,1003,-2,0.20753459573161318
2024020853,3485,-2,0.008079416140874715
2024020923,3515,-2,0.006392212351604319
2024021090,3531,-1,0.0743440078878326
2024020036,3515,-2,0.006392212351604319
2024020144,3542,-2,0.00493749224741939
2024020318,3640,0,0.5342430884534922
2024020427,3499,-2,0.007281476613570889
2024020676,3547,-1,0.07191231078226121
2024020801,3514,-2,0.006447126670191911
2024020106,3480,-2,0.008786005465263173
2024020268,3482,-2,0.008252940708049857
2024020310,3549,-1,0.06796912145894118
2024020432,3535,-1,0.07297547568193567
2024020855,3215,2,0.9810526269866529
2024020017,3505,-1,0.0827485392770515
2024020054,3856,0,0.5342430884534922
2024020395,3583,-1,0.053219978296044676
2024020556,3564,-1,0.062093607265103816
2024020673,3820,0,0.5220248987850972
2024020693,2977,-3,0.010966492372343898
2024020783,427,-1,0.3722801390725144
2024020913,3308,-1,0.12844133225701765
2024021211,3497,-1,0.08145345359441872
2024020076,3471,-1,0.08878118694487266
2024020098,3431,-1,0.09934378428956206
2024020365,3560,-1,0.06372714885734618
2024020388,3806,0,0.5220248987850972
2024020522,3598,-1,0.042090238130783594
2024020621,3443,-1,0.0962503642172805
2024020988,2871,-2,0.05846742094705432
2024021144,3501,-1,0.08028438177044064
2024021236,3436,1,0.9193102012176694
2024020315,3480,-3,0.0007176042475060019
2024020495,3592,-1,0.047658825352402796
2024020735,3384,1,0.912901655726752
2024020833,3567,-1,0.060828618786311676
2024020937,3510,1,0.9386982444620741
2024020995,3686,0,0.5220248987850972
2024021050,3774,0,0.5220248987850972
2024021069,3530,-2,0.005578025217730418
2024020414,1321,-2,0.19296513175096613
2024020509,903,-1,0.3881109097186662
2024020523,3857,0,0.5342430884534922
2024020652,3526,-2,0.005517818190311387
2024020866,3588,-1,0.048040427654853654
2024020896,3497,-1,0.08519794614057531
2024021040,3524,-1,0.07668448908545965
2024021060,3442,2,0.9909439436796642
2024020058,2943,3,0.9909435983129081
2024020061,3492,-2,0.008060768262508417
2024020450,3534,-1,0.07331988598596406
2024020719,582,-3,0.1276736184789556
2024021165,2455,0,0.5465151061407267
2024021300,3452,-2,0.010538777566232078
2024020493,3550,-1,0.07075291510272659
2024020526,3589,-1,0.04970302732717509
2024020583,3556,-2,0.004196957976028538
2024020683,3550,-2,0.004739710412516057
2024021015,3527,-2,0.005739523034538267
2024020046,3510,-2,0.006667643182246012
2024020081,3470,0,0.5262191181166525
2024020149,633,-4,0.06738936477620695
2024020482,3578,1,0.9534144059591976
2024020638,3564,0,0.5364495768166285
2024021032,3518,-1,0.07864144702742755
2024021146,2654,1,0.8188575492419373
2024021217,3493,2,0.9934842394829986
2024021228,3528,-1,0.0753551441511897
2024020015,3570,-2,0.0034521698487588784
2024020062,3535,-2,0.005310162270351567
2024020236,3484,-1,0.09312994673588512
2024020327,3561,-1,0.06332400023735692
2024020379,3398,-2,0.013498966444853813
2024020674,3764,0,0.5342430884534922
